"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Aeronaut Admiral","nec","Near Mint","English","","","2023-05-11 04:31:54.087000","79","False","False",""
"1","1","Aesi, Tyrant of Gyre Strait","cmr","Near Mint","English","foil","","2023-05-11 04:38:03.290000","365","False","False",""
"11","11","Aether Adept","ddm","Near Mint","English","","","2023-05-11 03:39:29.403000","12","False","False",""
"4","4","Aether Gale","clb","Near Mint","English","","","2023-05-11 03:39:29.403000","712","False","False",""
"1","1","Aether Gale","c21","Near Mint","English","","","2023-05-11 04:36:52.450000","113","False","False",""
"4","4","Aether Helix","stx","Near Mint","English","","","2023-05-11 03:39:29.403000","162","False","False",""
"4","4","Aether Snap","ncc","Near Mint","English","","","2023-05-11 03:39:29.403000","241","False","False",""
"1","1","Aether Vial","2x2","Near Mint","English","","","2023-05-11 03:39:29.403000","298","False","False",""
"1","1","Aetherize","znc","Near Mint","English","","","2023-05-11 04:38:52.570000","23","False","False",""
"1","1","Aetherize","40k","Near Mint","English","foil","","2023-05-11 04:16:48.350000","191★","False","False",""
"4","4","Aethermage's Touch","2x2","Near Mint","English","","","2023-05-11 03:39:29.403000","167","False","False",""
"9","9","Aethersnipe","2x2","Near Mint","English","","","2023-05-11 03:39:29.403000","37","False","False",""
"1","1","Aetherspouts","c21","Near Mint","English","","","2023-05-11 04:36:52.450000","114","False","False",""
"1","1","Aetherspouts","mic","Near Mint","English","","","2023-05-11 04:33:19.920000","97","False","False",""
"3","3","Aeve, Progenitor Ooze","mh2","Near Mint","English","","","2023-05-11 03:39:29.403000","148","False","False",""
"2","2","Against All Odds","one","Near Mint","English","","","2023-05-11 03:39:29.403000","1","False","False",""
"1","1","Ageless Entity","c21","Near Mint","English","","","2023-05-11 04:36:10.830000","184","False","False",""
"1","1","Agent's Toolkit","ncc","Near Mint","English","","","2023-05-11 04:31:33.287000","66","False","False",""
"1","1","Agitator Ant","ncc","Near Mint","English","","","2023-05-11 04:31:11.580000","263","False","False",""
"1","1","Agitator Ant","clb","Near Mint","English","","","2023-05-11 04:28:15.497000","776","False","False",""
"1","1","Agitator Ant","nec","Near Mint","English","","","2023-05-11 04:32:14.727000","102","False","False",""
"1","1","Agitator Ant","c20","Near Mint","English","","","2023-05-11 04:40:06.800000","49","False","False",""
"13","13","Agony Warp","2x2","Near Mint","English","","","2023-05-11 03:39:29.403000","168","False","False",""
"7","7","Ahn-Crop Invader","war","Near Mint","English","","","2023-05-11 03:39:29.403000","113","False","False",""
"1","1","Aid from the Cowl","moc","Near Mint","English","","","2023-05-11 04:09:20.553000","290","False","False",""
"7","7","Aid the Fallen","war","Near Mint","English","","","2023-05-11 03:39:29.403000","76","False","False",""
"1","1","Ainok Bond-Kin","mic","Near Mint","English","","","2023-05-11 04:33:40.623000","78","False","False",""
"10","10","Ainok Bond-Kin","2x2","Near Mint","English","","","2023-05-11 03:39:29.403000","5","False","False",""
"1","1","Ainok Survivalist","c19","Near Mint","English","","","2023-05-11 04:40:47.203000","156","False","False",""
"2","2","Air Elemental","m20","Near Mint","English","","","2023-05-11 03:39:29.403000","44","False","False",""
"3","3","Air Servant","w16","Near Mint","English","","","2023-05-11 03:39:29.403000","4","False","False",""
"1","1","Ajani Goldmane","m11","Near Mint","English","","","2023-05-11 03:39:29.403000","1","False","False",""
"1","1","Ajani Unyielding","c20","Near Mint","English","","","2023-05-11 04:39:50.937000","201","False","False",""
"2","2","Ajani Unyielding","ncc","Near Mint","English","","","2023-05-11 03:39:29.403000","324","False","False",""
"1","1","Ajani, Sleeper Agent","dmu","Near Mint","English","","","2023-05-11 03:39:29.403000","192","False","False",""
"2","2","Ajani, the Greathearted","war","Near Mint","English","","","2023-05-11 03:39:29.403000","184","False","False",""
"1","1","Ajani, Valiant Protector","aer","Near Mint","English","foil","","2023-05-11 03:39:29.403000","185","False","False",""
"2","2","Ajani's Mantra","ddh","Near Mint","English","","","2023-05-11 03:39:29.403000","22","False","False",""
"1","1","Ajani's Pridemate","tm20","Near Mint","English","","","2023-05-11 03:39:29.403000","1","False","False",""
"3","3","Ajani's Pridemate","war","Near Mint","English","","","2023-05-11 03:39:29.403000","4","False","False",""
"1","1","Akim, the Soaring Wind","c20","Near Mint","English","","","2023-05-11 04:40:06.800000","6","False","False",""
"1","1","Akki Battle Squad","nec","Near Mint","English","","","2023-05-11 04:32:14.727000","18","False","False",""
"1","1","Akoum Refuge","c19","Near Mint","English","","","2023-05-11 04:41:36.233000","226","False","False",""
"1","1","Akroma, Angel of Fury","tsr","Near Mint","English","","","2023-05-11 03:39:29.403000","150","False","False",""
"1","1","Akroma, Angel of Wrath","c20","Near Mint","English","","","2023-05-11 04:39:50.937000","73","False","False",""
"1","1","Akroma, Vision of Ixidor","cmr","Near Mint","English","","","2023-05-11 03:39:29.403000","2","False","False",""
"1","1","Akroma's Vengeance","c20","Near Mint","English","","","2023-05-11 04:40:06.800000","74","False","False",""
"3","3","Alabaster Mage","2xm","Near Mint","English","","","2023-05-11 03:39:29.403000","2","False","False",""
"2","2","Albino Troll","gvl","Near Mint","English","","","2023-05-11 03:39:29.403000","3","False","False",""
"1","1","Alchemist's Greeting","c19","Near Mint","English","","","2023-05-11 04:41:36.233000","133","False","False",""
"1","1","Alchemist's Retrieval","vow","Near Mint","English","","","2023-05-11 03:39:29.403000","47","False","False",""
"1","1","Alela, Artful Provocateur","ncc","Near Mint","English","","","2023-05-11 04:29:11.077000","325","False","False",""
"1","1","Alela, Artful Provocateur","brc","Near Mint","English","","","2023-05-11 04:15:08.683000","119","False","False",""
"1","1","Alesha, Who Smiles at Death","c20","Near Mint","English","","","2023-05-11 04:39:17.023000","143","False","False",""
"1","1","Alesha, Who Smiles at Death","dmc","Near Mint","English","","","2023-05-11 04:24:45.397000","118","False","False",""
"1","1","Alhammarret's Archive","c21","Near Mint","English","","","2023-05-11 04:36:10.830000","233","False","False",""
"1","1","Alharu, Solemn Ritualist","moc","Near Mint","English","","","2023-05-11 04:13:21.283000","168","False","False",""
"1","1","Alibou, Ancient Witness","c21","Near Mint","English","foil","","2023-05-11 04:35:30.470000","7","False","False",""
"1","1","All Is Dust","uma","Near Mint","English","","","2023-05-11 03:39:29.403000","1","False","False",""
"2","2","All That Glitters","eld","Near Mint","English","","","2023-05-11 03:39:29.403000","2","False","False",""
"2","2","All Will Be One","one","Near Mint","English","","","2023-05-11 03:39:29.403000","118","False","False",""
"1","1","Allied Strategies","dde","Near Mint","English","","","2023-05-11 03:39:29.403000","63","False","False",""
"2","2","Allosaurus Shepherd","2x2","Near Mint","English","","","2023-05-11 03:39:29.403000","132","False","False",""
"2","2","Alloy Myr","jmp","Near Mint","English","","","2023-05-11 03:39:29.403000","457","False","False",""
"3","3","Alluring Siren","m12","Near Mint","English","","","2023-05-11 03:39:29.403000","42","False","False",""
"1","1","Alluring Suitor // Deadly Dancer","vow","Near Mint","English","","","2023-05-11 03:39:29.403000","141","False","False",""
"2","2","Alpha Tyrranax","som","Near Mint","English","","","2023-05-11 03:39:29.403000","109","False","False",""
"1","1","Altar of Bhaal // Bone Offering","clb","Near Mint","English","","","2023-05-11 03:39:29.403000","109","False","False",""
"3","3","Altar of the Goyf","mh2","Near Mint","English","","","2023-05-11 03:39:29.403000","220","False","False",""
"1","1","Ambition's Cost","c21","Near Mint","English","","","2023-05-11 04:35:52.227000","134","False","False",""
"1","1","Ambition's Cost","khc","Near Mint","English","","","2023-05-11 04:37:44.947000","47","False","False",""
"1","1","Ambition's Cost","c20","Near Mint","English","","","2023-05-11 04:39:17.023000","129","False","False",""
"1","1","Ambition's Cost","dmc","Near Mint","English","","","2023-05-11 04:24:45.397000","110","False","False",""
"1","1","Ambition's Cost","moc","Near Mint","English","","","2023-05-11 04:11:23.677000","246","False","False",""
"2","2","Ambulatory Edifice","one","Near Mint","English","","","2023-05-11 03:39:29.403000","79","False","False",""
"9","9","Ambuscade","2x2","Near Mint","English","","","2023-05-11 03:39:29.403000","133","False","False",""
"4","4","Ambush Viper","cmr","Near Mint","English","","","2023-05-11 03:39:29.403000","213","False","False",""
"1","1","Aminatou, the Fateshifter","2x2","Near Mint","English","","","2023-05-11 03:39:29.403000","169","False","False",""
"4","4","Amphin Cutthroat","m12","Near Mint","English","","","2023-05-11 03:39:29.403000","43","False","False",""
"1","1","An Offer You Can't Refuse","snc","Near Mint","English","","","2023-05-11 04:29:11.077000","51","False","False",""
"1","1","Anafenza, Kin-Tree Spirit","dmc","Near Mint","English","","","2023-05-11 04:24:45.397000","97","False","False",""
"1","1","Ancient Bronze Dragon","clb","Near Mint","English","","","2023-05-11 03:39:29.403000","214","False","False",""
"1","1","Ancient Craving","voc","Near Mint","English","","","2023-05-11 04:32:44.193000","117","False","False",""
"1","1","Ancient Craving","c21","Near Mint","English","","","2023-05-11 04:36:10.830000","135","False","False",""
"1","1","Ancient Den","brc","Near Mint","English","","","2023-05-11 04:15:08.683000","172","False","False",""
"1","1","Ancient Den","c21","Near Mint","English","","","2023-05-11 04:35:30.470000","276","False","False",""
"1","1","Ancient Gold Dragon","clb","Near Mint","English","","","2023-05-11 03:39:29.403000","3","False","False",""
"3","3","Ancient Grudge","tsr","Near Mint","English","","","2023-05-11 03:39:29.403000","151","False","False",""
"1","1","Ancient Stirrings","2xm","Near Mint","English","","","2023-05-11 03:39:29.403000","151","False","False",""
"1","1","Ancient Stone Idol","moc","Near Mint","English","","","2023-05-11 04:11:23.677000","347","False","False",""
"1","1","And They Shall Know No Fear","40k","Near Mint","English","","","2023-05-11 04:18:16.417000","9","False","False",""
"1","1","And They Shall Know No Fear","40k","Near Mint","English","foil","","2023-05-11 04:16:35.363000","9★","False","False",""
"1","1","Angel of Finality","moc","Near Mint","English","","","2023-05-11 04:12:54.543000","169","False","False",""
"1","1","Angel of Finality","c20","Near Mint","English","","","2023-05-11 04:39:50.937000","75","False","False",""
"1","1","Angel of Finality","khc","Near Mint","English","","","2023-05-11 04:37:28.770000","17","False","False",""
"1","1","Angel of Finality","afc","Near Mint","English","","","2023-05-11 04:34:00.793000","63","False","False",""
"1","1","Angel of Flight Alabaster","voc","Near Mint","English","","","2023-05-11 04:33:01.133000","77","False","False",""
"1","1","Angel of Glory's Rise","mic","Near Mint","English","","","2023-05-11 04:33:40.623000","79","False","False",""
"1","1","Angel of Salvation","moc","Near Mint","English","","","2023-05-11 04:12:54.543000","170","False","False",""
"2","2","Angel of Sanctions","c19","Near Mint","English","","","2023-05-11 03:39:29.403000","61","False","False",""
"1","1","Angel of Serenity","c21","Near Mint","English","","","2023-05-11 04:35:52.227000","83","False","False",""
"1","1","Angel of Serenity","khc","Near Mint","English","","","2023-05-11 04:37:28.770000","18","False","False",""
"1","1","Angel of the Ruins","c21","Near Mint","English","","","2023-05-11 04:35:30.470000","11","False","False",""
"1","1","Angel of the Ruins","brc","Near Mint","English","","","2023-05-11 04:15:08.683000","68","False","False",""
"1","1","Angel of the Ruins","moc","Near Mint","English","","","2023-05-11 04:11:23.677000","171","False","False",""
"1","1","Angel of Vitality","m20","Near Mint","English","","","2023-05-11 03:39:29.403000","4","False","False",""
"2","2","Angelheart Vial","roe","Near Mint","English","","","2023-05-11 03:39:29.403000","215","False","False",""
"1","1","Angelic Arbiter","jmp","Near Mint","English","","","2023-05-11 03:39:29.403000","86","False","False",""
"3","3","Angelic Curator","mh2","Near Mint","English","","","2023-05-11 03:39:29.403000","262","False","False",""
"2","2","Angelic Destiny","m12","Near Mint","English","","","2023-05-11 03:39:29.403000","3","False","False",""
"1","1","Angelic Destiny","m12","Near Mint","English","foil","","2023-05-11 03:39:29.403000","3","False","False",""
"1","1","Angelic Gift","afc","Near Mint","English","","","2023-05-11 04:34:00.793000","64","False","False",""
"1","1","Angelic Sleuth","ncc","Near Mint","English","","","2023-05-11 04:31:33.287000","12","False","False",""
"5","5","Angel's Feather","dvd","Near Mint","English","","","2023-05-11 03:39:29.403000","23","False","False",""
"6","6","Angel's Mercy","m13","Near Mint","English","","","2023-05-11 03:39:29.403000","3","False","False",""
"1","1","Anger","afc","Near Mint","English","","","2023-05-11 04:34:18.350000","113","False","False",""
"1","1","Anger of the Gods","2x2","Near Mint","English","","","2023-05-11 03:39:29.403000","102","False","False",""
"1","1","Angler Turtle","clb","Near Mint","English","","","2023-05-11 04:28:15.497000","713","False","False",""
"3","3","Angrath, Captain of Chaos","war","Near Mint","English","","","2023-05-11 03:39:29.403000","227","False","False",""
"4","4","Angrath's Rampage","war","Near Mint","English","","","2023-05-11 03:39:29.403000","185","False","False",""
"1","1","Anhelo, the Painter","ncc","Near Mint","English","foil","","2023-05-11 04:29:57.457000","1","False","False",""
"1","1","Animar, Soul of Elements","2x2","Near Mint","English","","","2023-05-11 03:39:29.403000","171","False","False",""
"1","1","Animist's Awakening","c20","Near Mint","English","","","2023-05-11 04:40:26.320000","166","False","False",""
"1","1","Anje Falkenrath","c19","Near Mint","English","foil","","2023-05-11 04:41:36.233000","37","False","False",""
"1","1","Anje's Ravager","c19","Near Mint","English","","","2023-05-11 04:41:36.233000","22","False","False",""
"1","1","Anje's Ravager","voc","Near Mint","English","","","2023-05-11 04:32:44.193000","141","False","False",""
"1","1","Annex Sentry","one","Near Mint","English","","","2023-05-11 03:39:29.403000","2","False","False",""
"4","4","Annihilating Glare","one","Near Mint","English","","","2023-05-11 03:39:29.403000","80","False","False",""
"10","10","Annoyed Altisaur","2x2","Near Mint","English","","","2023-05-11 03:39:29.403000","134","False","False",""
"1","1","Anoint with Affliction","one","Near Mint","English","","","2023-05-11 03:39:29.403000","81","False","False",""
"1","1","Anointed Procession","akh","Near Mint","English","","","2023-05-11 03:39:29.403000","2","False","False",""
"10","10","Anointer of Valor","2x2","Near Mint","English","","","2023-05-11 03:39:29.403000","6","False","False",""
"2","2","Anowon, the Ruin Sage","voc","Near Mint","English","","","2023-05-11 03:39:29.403000","118","False","False",""
"1","1","Anowon, the Ruin Thief","znc","Near Mint","English","foil","","2023-05-11 04:38:52.570000","1","False","False",""
"1","1","Anrakyr the Traveller","40k","Near Mint","English","foil","","2023-05-11 04:16:21.150000","28★","False","False",""
"4","4","Anticognition","znr","Near Mint","English","","","2023-05-11 03:39:29.403000","45","False","False",""
"1","1","Apex Altisaur","c19","Near Mint","English","","","2023-05-11 04:40:47.203000","31","False","False",""
"1","1","Apex of Power","afc","Near Mint","English","","","2023-05-11 04:35:03.783000","114","False","False",""
"1","1","Apex of Power","c21","Near Mint","English","","","2023-05-11 04:36:52.450000","158","False","False",""
"1","1","Apostle of Invasion","one","Near Mint","English","","","2023-05-11 03:39:29.403000","3","False","False",""
"8","8","Apostle's Blessing","mm2","Near Mint","English","","","2023-05-11 03:39:29.403000","8","False","False",""
"1","1","Aquastrand Spider","mm2","Near Mint","English","","","2023-05-11 03:39:29.403000","140","False","False",""
"4","4","Aqueous Form","cmr","Near Mint","English","","","2023-05-11 03:39:29.403000","56","False","False",""
"1","1","Arachnogenesis","c15","Near Mint","English","","","2023-05-11 03:39:29.403000","32","False","False",""
"9","9","Arachnus Spinner","2x2","Near Mint","English","","","2023-05-11 03:39:29.403000","135","False","False",""
"19","19","Arachnus Web","2x2","Near Mint","English","","","2023-05-11 03:39:29.403000","136","False","False",""
"1","1","Arashi, the Sky Asunder","c21","Near Mint","English","","","2023-05-11 04:36:32.777000","185","False","False",""
"1","1","Arasta of the Endless Web","clb","Near Mint","English","","","2023-05-11 04:28:45.500000","817","False","False",""
"1","1","Arasta of the Endless Web","ncc","Near Mint","English","","","2023-05-11 04:31:11.580000","279","False","False",""
"6","6","Arboreal Grazer","war","Near Mint","English","","","2023-05-11 03:39:29.403000","149","False","False",""
"3","3","Arc Runner","m11","Near Mint","English","","","2023-05-11 03:39:29.403000","123","False","False",""
"1","1","Arc Trail","pca","Near Mint","English","","","2023-05-11 03:39:29.403000","39","False","False",""
"1","1","Arcades Sabboth","me3","Near Mint","English","","","2023-05-11 03:39:29.403000","142","False","False",""
"1","1","Arcane Artisan","khc","Near Mint","English","","","2023-05-11 04:37:28.770000","36","False","False",""
"1","1","Arcane Denial","cmr","Near Mint","English","","","2023-05-11 04:38:03.290000","393","False","False",""
"1","1","Arcane Denial","voc","Near Mint","English","","","2023-05-11 04:33:01.133000","102","False","False",""
"1","1","Arcane Endeavor","afc","Near Mint","English","","","2023-05-11 04:34:34.557000","14","False","False",""
"2","2","Arcane Melee","c13","Near Mint","English","","","2023-05-11 03:39:29.403000","29","False","False",""
"1","1","Arcane Sanctum","dmc","Near Mint","English","","","2023-05-11 04:24:17.887000","196","False","False",""
"1","1","Arcane Sanctum","brc","Near Mint","English","","","2023-05-11 04:15:08.683000","173","False","False",""
"1","1","Arcane Sanctum","40k","Near Mint","English","","","2023-05-11 04:18:16.417000","264","False","False",""
"1","1","Arcane Sanctum","40k","Near Mint","English","foil","","2023-05-11 04:16:35.363000","264★","False","False",""
"1","1","Arcane Sanctum","ncc","Near Mint","English","","","2023-05-11 04:29:11.077000","385","False","False",""
"1","1","Arcane Sanctum","afc","Near Mint","English","","","2023-05-11 04:34:34.557000","223","False","False",""
"1","1","Arcane Sanctum","moc","Near Mint","English","","","2023-05-11 04:13:06.887000","390","False","False",""
"4","4","Arcane Signet","clb","Near Mint","English","","","2023-05-11 04:25:11.163000","298","False","False",""
"5","5","Arcane Signet","dmc","Near Mint","English","","","2023-05-11 03:39:29.403000","177","False","False",""
"1","1","Arcane Signet","40k","Near Mint","English","","","2023-05-11 04:18:16.417000","229","False","False",""
"1","1","Arcane Signet","40k","Near Mint","English","foil","","2023-05-11 04:16:35.363000","229★","False","False",""
"1","1","Arcane Signet","40k","Near Mint","English","foil","","2023-05-11 04:16:21.150000","228★","False","False",""
"1","1","Arcane Signet","40k","Near Mint","English","foil","","2023-05-11 04:16:48.350000","227★","False","False",""
"2","2","Arcane Signet","onc","Near Mint","English","","","2023-05-11 04:13:57.707000","125","False","False",""
"2","2","Arcane Signet","brc","Near Mint","English","","","2023-05-11 04:15:08.683000","132","False","False",""
"5","5","Arcane Signet","moc","Near Mint","English","","","2023-05-11 04:09:20.553000","348","False","False",""
"2","2","Arcane Signet","voc","Near Mint","English","","","2023-05-11 04:32:44.193000","159","False","False",""
"2","2","Arcane Signet","nec","Near Mint","English","","","2023-05-11 04:31:54.087000","144","False","False",""
"5","5","Arcane Signet","ncc","Near Mint","English","","","2023-05-11 04:29:11.077000","360","False","False",""
"4","4","Arcane Signet","afc","Near Mint","English","","","2023-05-11 04:34:00.793000","197","False","False",""
"2","2","Arcane Signet","mic","Near Mint","English","","","2023-05-11 04:33:19.920000","157","False","False",""
"2","2","Arcane Signet","znc","Near Mint","English","","","2023-05-11 04:38:36.217000","106","False","False",""
"2","2","Arcane Signet","khc","Near Mint","English","","","2023-05-11 04:37:28.770000","96","False","False",""
"5","5","Arcane Signet","c21","Near Mint","English","","","2023-05-11 04:35:30.470000","234","False","False",""
"5","5","Arcane Signet","c20","Near Mint","English","","","2023-05-11 04:39:17.023000","237","False","False",""
"2","2","Arcanis the Omnipotent","c17","Near Mint","English","","","2023-05-11 03:39:29.403000","80","False","False",""
"1","1","Arcanist's Owl","nec","Near Mint","English","","","2023-05-11 04:31:54.087000","135","False","False",""
"3","3","Arcbound Javelineer","mh2","Near Mint","English","","","2023-05-11 03:39:29.403000","2","False","False",""
"6","6","Arcbound Mouser","mh2","Near Mint","English","","","2023-05-11 03:39:29.403000","3","False","False",""
"7","7","Arcbound Prototype","mh2","Near Mint","English","","","2023-05-11 03:39:29.403000","4","False","False",""
"4","4","Arcbound Shikari","mh2","Near Mint","English","","","2023-05-11 03:39:29.403000","184","False","False",""
"7","7","Arcbound Slasher","mh2","Near Mint","English","","","2023-05-11 03:39:29.403000","111","False","False",""
"5","5","Arcbound Tracker","mh2","Near Mint","English","","","2023-05-11 03:39:29.403000","112","False","False",""
"4","4","Arcbound Whelp","mh2","Near Mint","English","","","2023-05-11 03:39:29.403000","113","False","False",""
"1","1","Archaeomancer's Map","c21","Near Mint","English","","","2023-05-11 04:35:30.470000","12","False","False",""
"1","1","Archelos, Lagoon Mystic","dmc","Near Mint","English","","","2023-05-11 04:24:17.887000","140","False","False",""
"1","1","Archfiend of Sorrows","mh2","Near Mint","English","","","2023-05-11 03:39:29.403000","74","False","False",""
"1","1","Archfiend of Spite","c19","Near Mint","English","","","2023-05-11 04:41:36.233000","14","False","False",""
"1","1","Archfiend of the Dross","one","Near Mint","English","","","2023-05-11 03:39:29.403000","82","False","False",""
"1","1","Archipelagore","iko","Near Mint","English","","","2023-05-11 04:40:26.320000","283","False","False",""
"1","1","Archon of Coronation","ncc","Near Mint","English","","","2023-05-11 04:29:11.077000","192","False","False",""
"4","4","Archon of Redemption","jmp","Near Mint","English","","","2023-05-11 03:39:29.403000","90","False","False",""
"1","1","Archon of Valor's Reach","c20","Near Mint","English","","","2023-05-11 04:39:50.937000","202","False","False",""
"1","1","Archpriest of Iona","clb","Near Mint","English","","","2023-05-11 04:25:11.163000","686","False","False",""
"4","4","Archway Commons","stx","Near Mint","English","","","2023-05-11 03:39:29.403000","263","False","False",""
"1","1","Arco-Flagellant","40k","Near Mint","English","","","2023-05-11 04:18:16.417000","29","False","False",""
